,MODEL,DATASET,SAMPLING,ACCURACY,F1,RECALL,PRECISION,HAMMING_LOSS,TARGET
0,KNN,ORIGINAL,datasets_all,0.5819327731092437,0.7969187675070027,0.7501647989452868,0.8498879761015683,0.12184873949579832,All
1,Decision Tree,ORIGINAL,datasets_all,0.6386554621848739,0.8494411571334647,0.8516809492419248,0.8472131147540983,0.09621848739495799,All
2,SVM,ORIGINAL,datasets_all,0.7237394957983193,0.8772774149192162,0.8411338167435728,0.9166666666666666,0.075,All
3,XGBoost,ORIGINAL,datasets_all,0.726890756302521,0.8868868868868869,0.8760711931443639,0.897972972972973,0.07121848739495798,All
4,AdaBoost,ORIGINAL,datasets_all,0.625,0.7963159759121503,0.7409360580092288,0.8606431852986217,0.1207983193277311,All
5,Bagging,ORIGINAL,datasets_all,0.7027310924369747,0.8746238716148446,0.8622280817402769,0.8873812754409769,0.07878151260504201,All
6,Gradient Boosting,ORIGINAL,datasets_all,0.6827731092436975,0.8512508451656523,0.8299274884640738,0.8736988202637057,0.09243697478991597,All
7,random Forest,ORIGINAL,datasets_all,0.7153361344537815,0.8790915163660653,0.8675016479894528,0.8909952606635071,0.07605042016806722,All
8,Mlp-adam,ORIGINAL,datasets_all,0.7037815126050421,0.8703130374957001,0.8338826631509558,0.9100719424460432,0.0792016806722689,All
9,Mlp-lbfgs,ORIGINAL,datasets_all,0.7184873949579832,0.882313829787234,0.8747528015820699,0.8900067069081153,0.07436974789915966,All
10,Mlp-sgd,ORIGINAL,datasets_all,0.46008403361344535,0.6172539489671931,0.5023071852340145,0.8004201680672269,0.19852941176470587,All
11,CatBoost,ORIGINAL,datasets_all,0.717436974789916,0.8778038165383328,0.8642056690837179,0.8918367346938776,0.07668067226890757,All
12,Voting,ORIGINAL,datasets_all,0.7415966386554622,0.8942436412315932,0.8806855636123929,0.9082256968048946,0.06638655462184874,All
13,KNN,ORIGINAL,datasets_lemmatize_text,0.5756302521008403,0.7830763714593044,0.7198417930125247,0.8584905660377359,0.12710084033613445,All
14,Decision Tree,ORIGINAL,datasets_lemmatize_text,0.6239495798319328,0.8441945087661263,0.8411338167435728,0.8472775564409031,0.09894957983193277,All
15,SVM,ORIGINAL,datasets_lemmatize_text,0.717436974789916,0.8726268553676216,0.8332234673698088,0.9159420289855073,0.07752100840336135,All
16,XGBoost,ORIGINAL,datasets_lemmatize_text,0.7363445378151261,0.8893373696602759,0.8714568226763348,0.907967032967033,0.06911764705882353,All
17,AdaBoost,ORIGINAL,datasets_lemmatize_text,0.6228991596638656,0.7931404072883173,0.7317073170731707,0.8658346333853354,0.12163865546218487,All
18,Bagging,ORIGINAL,datasets_lemmatize_text,0.6901260504201681,0.8688634835238737,0.8516809492419248,0.8867536032944406,0.0819327731092437,All
19,Gradient Boosting,ORIGINAL,datasets_lemmatize_text,0.6964285714285714,0.8551068883610451,0.8305866842452209,0.8811188811188811,0.08970588235294118,All
20,random Forest,ORIGINAL,datasets_lemmatize_text,0.7184873949579832,0.8730756072528224,0.8411338167435728,0.9075391180654339,0.07794117647058824,All
21,Mlp-adam,ORIGINAL,datasets_lemmatize_text,0.7027310924369747,0.869475138121547,0.8299274884640738,0.9129804205946338,0.07941176470588235,All
22,Mlp-lbfgs,ORIGINAL,datasets_lemmatize_text,0.7163865546218487,0.8843582887700535,0.8721160184574819,0.8969491525423728,0.0726890756302521,All
23,Mlp-sgd,ORIGINAL,datasets_lemmatize_text,0.46008403361344535,0.6172539489671931,0.5023071852340145,0.8004201680672269,0.19852941176470587,All
24,CatBoost,ORIGINAL,datasets_lemmatize_text,0.7195378151260504,0.8815261044176707,0.8681608437705999,0.8953093133922502,0.07436974789915966,All
25,Voting,ORIGINAL,datasets_lemmatize_text,0.7573529411764706,0.896505376344086,0.8793671720500988,0.914324880054832,0.06470588235294118,All
26,KNN,ORIGINAL,datasets_normalizeRepeatedChars,0.5756302521008403,0.778894472361809,0.7152274225444957,0.8550039401103231,0.12941176470588237,All
27,Decision Tree,ORIGINAL,datasets_normalizeRepeatedChars,0.6460084033613446,0.8480424684804247,0.8424522083058669,0.8537074148296593,0.09621848739495799,All
28,SVM,ORIGINAL,datasets_normalizeRepeatedChars,0.7237394957983193,0.8749569410954184,0.8371786420566908,0.9163059163059163,0.07626050420168068,All
29,XGBoost,ORIGINAL,datasets_normalizeRepeatedChars,0.7489495798319328,0.8921733288545516,0.8754119973632168,0.9095890410958904,0.06743697478991596,All
30,AdaBoost,ORIGINAL,datasets_normalizeRepeatedChars,0.6292016806722689,0.797158081705151,0.7396176664469347,0.864406779661017,0.11995798319327731,All
31,Bagging,ORIGINAL,datasets_normalizeRepeatedChars,0.7037815126050421,0.8709133805190429,0.8516809492419248,0.8910344827586207,0.08046218487394959,All
32,Gradient Boosting,ORIGINAL,datasets_normalizeRepeatedChars,0.6985294117647058,0.8585858585858585,0.8404746209624259,0.8774948382656572,0.08823529411764706,All
33,random Forest,ORIGINAL,datasets_normalizeRepeatedChars,0.717436974789916,0.8716193084560081,0.8391562294001318,0.9066951566951567,0.07878151260504201,All
34,Mlp-adam,ORIGINAL,datasets_normalizeRepeatedChars,0.7142857142857143,0.8744855967078189,0.8404746209624259,0.9113652609006433,0.07689075630252101,All
35,Mlp-lbfgs,ORIGINAL,datasets_normalizeRepeatedChars,0.7352941176470589,0.8914936369725386,0.8773895847066578,0.9060585432266848,0.0680672268907563,All
36,Mlp-sgd,ORIGINAL,datasets_normalizeRepeatedChars,0.46008403361344535,0.6172539489671931,0.5023071852340145,0.8004201680672269,0.19852941176470587,All
37,CatBoost,ORIGINAL,datasets_normalizeRepeatedChars,0.7300420168067226,0.8852459016393442,0.8721160184574819,0.8987771739130435,0.07205882352941176,All
38,Voting,ORIGINAL,datasets_normalizeRepeatedChars,0.7542016806722689,0.8960863697705802,0.8754119973632168,0.9177608845888044,0.06470588235294118,All
39,KNN,ORIGINAL,datasets_removeNulls,0.5777310924369747,0.7800502332256908,0.7165458141067897,0.8559055118110236,0.128781512605042,All
40,Decision Tree,ORIGINAL,datasets_removeNulls,0.6365546218487395,0.844798936523762,0.8378378378378378,0.8518766756032171,0.09810924369747899,All
41,SVM,ORIGINAL,datasets_removeNulls,0.7205882352941176,0.8737931034482758,0.8352010547132498,0.9161243673174259,0.07689075630252101,All
42,XGBoost,ORIGINAL,datasets_removeNulls,0.740546218487395,0.8893360160965794,0.8740936058009229,0.9051194539249147,0.06932773109243698,All
43,AdaBoost,ORIGINAL,datasets_removeNulls,0.6302521008403361,0.7970191625266145,0.7402768622280818,0.8631821675634127,0.12016806722689076,All
44,Bagging,ORIGINAL,datasets_removeNulls,0.7100840336134454,0.8726666666666668,0.8628872775214239,0.882670262980445,0.08025210084033614,All
45,Gradient Boosting,ORIGINAL,datasets_removeNulls,0.6953781512605042,0.8572390572390571,0.8391562294001318,0.8761183757742601,0.08907563025210084,All
46,random Forest,ORIGINAL,datasets_removeNulls,0.7037815126050421,0.8666896314157767,0.8292682926829268,0.9076479076479076,0.08130252100840336,All
