,MODEL,DATASET,Sampling,ACCURACY,F1,RECALL,PRECISION,HAMMING_LOSS,TARGET
0,KNeighborsClassifier,datasets_all,UNDERSAMPLING,0.7426470588235294,0.7426470588235294,0.7426470588235294,0.7426470588235294,0.25735294117647056,ENTREGA
1,DecisionTreeClassifier,datasets_all,UNDERSAMPLING,0.9327731092436975,0.9327731092436976,0.9327731092436975,0.9327731092436975,0.06722689075630252,ENTREGA
2,SVC,datasets_all,UNDERSAMPLING,0.957983193277311,0.957983193277311,0.957983193277311,0.957983193277311,0.04201680672268908,ENTREGA
3,XGBClassifier,datasets_all,UNDERSAMPLING,0.9485294117647058,0.9485294117647058,0.9485294117647058,0.9485294117647058,0.051470588235294115,ENTREGA
4,AdaBoostClassifier,datasets_all,UNDERSAMPLING,0.9254201680672269,0.9254201680672269,0.9254201680672269,0.9254201680672269,0.07457983193277311,ENTREGA
5,BaggingClassifier,datasets_all,UNDERSAMPLING,0.9338235294117647,0.9338235294117647,0.9338235294117647,0.9338235294117647,0.0661764705882353,ENTREGA
6,GradientBoostingClassifier,datasets_all,UNDERSAMPLING,0.9390756302521008,0.9390756302521008,0.9390756302521008,0.9390756302521008,0.06092436974789916,ENTREGA
7,RandomForestClassifier,datasets_all,UNDERSAMPLING,0.9401260504201681,0.9401260504201681,0.9401260504201681,0.9401260504201681,0.059873949579831935,ENTREGA
8,MLPClassifier,datasets_all,UNDERSAMPLING,0.9065126050420168,0.9065126050420168,0.9065126050420168,0.9065126050420168,0.0934873949579832,ENTREGA
9,MLPClassifier,datasets_all,UNDERSAMPLING,0.9506302521008403,0.9506302521008403,0.9506302521008403,0.9506302521008403,0.04936974789915966,ENTREGA
10,MLPClassifier,datasets_all,UNDERSAMPLING,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.14285714285714285,ENTREGA
11,CatBoostClassifier,datasets_all,UNDERSAMPLING,0.9485294117647058,0.9485294117647058,0.9485294117647058,0.9485294117647058,0.051470588235294115,ENTREGA
12,VotingClassifier,datasets_all,UNDERSAMPLING,0.9527310924369747,0.9527310924369747,0.9527310924369747,0.9527310924369747,0.04726890756302521,ENTREGA
13,KNeighborsClassifier,datasets_all,OVERSAMPLING,0.7478991596638656,0.7478991596638656,0.7478991596638656,0.7478991596638656,0.25210084033613445,ENTREGA
14,DecisionTreeClassifier,datasets_all,OVERSAMPLING,0.9222689075630253,0.9222689075630253,0.9222689075630253,0.9222689075630253,0.07773109243697479,ENTREGA
15,SVC,datasets_all,OVERSAMPLING,0.9569327731092437,0.9569327731092437,0.9569327731092437,0.9569327731092437,0.0430672268907563,ENTREGA
16,XGBClassifier,datasets_all,OVERSAMPLING,0.9537815126050421,0.9537815126050421,0.9537815126050421,0.9537815126050421,0.046218487394957986,ENTREGA
